# -----------------------------------------
# Units explanation:
# -----------------------------------------
# time_step: Simulation time step
# phase_duration: Duration of current traffic light phase (seconds)
# remaining_duration: Time until next phase change (seconds)
# signal_states: Current state of all signals (g=green, y=yellow, r=red, G=priority green)
# total_queue_length: Number of stopped vehicles at intersection (vehicles)
# vehicles_stopped: Number of unique vehicles stopped at intersection (vehicles)
# average_waiting_time: Average time vehicles have been waiting (seconds)
# vehicles_by_type: Dictionary of vehicle counts by vehicle type
# lane_to_signal_mapping: Dictionary mapping lanes to their controlling signals
# -----------------------------------------

time_step,traffic_light_id,program,phase,phase_duration,remaining_duration,signal_states,total_queue_length,vehicles_stopped,average_waiting_time,vehicles_by_type,lane_to_signal_mapping
1,3580335711,0,0,0.001,0.0,,0,0,0.0,{},
1,3580335713,0,0,0.001,0.0,,0,0,0.0,{},
1,3580335717,0,0,0.001,0.0,,0,0,0.0,{},
1,3580335719,0,0,0.001,0.0,,0,0,0.0,{},
1,4608620869,0,0,0.001,0.0,,0,0,0.0,{},
1,cluster_1021042349_10310468647_10310468648_10310468649_#16more,0,0,22.0,4.9,GrrrrGGGrrrrrrGGGggGGgrrrrrrrrrr,0,0,0.0,{},
1,cluster_1077566374_1077566470_1290733108_1362827596_#3more,0,0,22.0,4.9,rrrrrrrrrrrgGggGGGrrrrrrGrrrrrrGGrrr,0,0,0.0,{},
1,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,22.0,21.9,gGggrrrrrrrrrrrrrrGggGggrGrGrr,0,0,0.0,{},
1,cluster_1290733319_1362826052_1362826053_13888123_#2more,0,0,19.0,4.9,GGgggrrrrrgGgggGgrrrrrrrrrrGrrG,0,0,0.0,{},
1,cluster_1362826055_1362826056_2285938303_2285938304_#2more,0,0,22.0,4.9,gGgggGgrrrrrrGGgggrrrrrrrrGrrrG,0,0,0.0,{},
1,cluster_1562831706_1679831871_29565897_4695499893_#7more,0,0,13.0,0.9,rrrrGrrrrGrrrrrrrGrG,0,0,0.0,{},
1,cluster_1562831708_1679831907_29565896_3580395762_#7more,0,0,13.0,0.9,GrrrrrGrrrrrrrrrGrG,0,0,0.0,{},
1,cluster_1562831710_1679831934_3505015540_3580335712_#3more,0,0,22.0,4.9,rgGggrrrrrgGggrrrrrGGrG,0,0,0.0,{},
1,cluster_20835091_3813915944_3813915945_3813915947_#8more,0,0,32.0,4.9,ggggggGGGgggrrrrrrgggggggGGgggrrrrrrrrGrrr,0,0,0.0,{},
1,cluster_2155840700_345553442_8748885630_8748896839_#1more,0,0,22.0,4.9,rrrrrrrrGggGrGrG,0,0,0.0,{},
1,cluster_2269419707_345553456_8748885651_8748885661_#1more,0,0,22.0,4.9,rrrrggGGrrrrrrGrG,0,0,0.0,{},
1,cluster_29564155_3953206284_3953206285_3953206286_#4more,0,0,33.0,4.9,ggGgggggggGGgrrrrrrrrGrrG,0,0,0.0,{},
1,joinedS_20833830_20833831_2404001198_2495292070_#3more,0,0,26.0,4.9,GgrrGgGgGgrrGrGggrgrrGGrrrgGrGggrrrrrrrrrrrGrGrGrGrGGrGGGG,0,0,0.0,{},
1,3580335711,0,0,0.001,0.0,,0,0,0.0,{},
1,3580335713,0,0,0.001,0.0,,0,0,0.0,{},
1,3580335717,0,0,0.001,0.0,,0,0,0.0,{},
1,3580335719,0,0,0.001,0.0,,0,0,0.0,{},
1,4608620869,0,0,0.001,0.0,,0,0,0.0,{},
1,cluster_1021042349_10310468647_10310468648_10310468649_#16more,0,0,22.0,4.8,GrrrrGGGrrrrrrGGGggGGgrrrrrrrrrr,0,0,0.0,{},
1,cluster_1077566374_1077566470_1290733108_1362827596_#3more,0,0,22.0,4.8,rrrrrrrrrrrgGggGGGrrrrrrGrrrrrrGGrrr,0,0,0.0,{},
1,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,22.0,21.8,gGggrrrrrrrrrrrrrrGggGggrGrGrr,0,0,0.0,{},
1,cluster_1290733319_1362826052_1362826053_13888123_#2more,0,0,19.0,4.8,GGgggrrrrrgGgggGgrrrrrrrrrrGrrG,0,0,0.0,{},
1,cluster_1362826055_1362826056_2285938303_2285938304_#2more,0,0,22.0,4.8,gGgggGgrrrrrrGGgggrrrrrrrrGrrrG,0,0,0.0,{},
1,cluster_1562831706_1679831871_29565897_4695499893_#7more,0,0,13.0,0.8,rrrrGrrrrGrrrrrrrGrG,0,0,0.0,{},
