# =========================================
# Summary of Simulation Results
# Generated on: 2026-02-16 18:06:06
# Step length: 0.1 seconds
# =========================================

=========================================
1. SIMULATION PARAMETERS
-----------------------------------------
Parameter,Value

Total simulation steps,2700
Step length,0.1
Simulation duration,270.0 seconds
Warm-up period,90 seconds

Live visualization,False
Visualize rays,False
Save animation,False

FCO share (input),70.00%
FBO share (input),0.00%

Number of rays (Ray Tracing),360
Ray tracing radius,30 meters

Grid size (Heat Map),1.0

Bounding box (north),48.1505
Bounding box (south),48.14905
Bounding box (east),11.571
Bounding box (west),11.5679

SUMO configuration file,C:\Users\patma\mario_ws\FTO-Sim\simulation_examples\Spatial-Visibility_Ilic-TRB-2025\Ilic-2025_config_low-demand.sumocfg
GeoJSON path,simulation_examples\Spatial-Visibility_Ilic-TRB-2025\Ilic-2025.geojson
File tag,TRB_low-demand_seed18

=========================================
2. FLEET COMPOSITION
-----------------------------------------
Vehicle Type,Total Count,Average Present


=========================================
3. TRAFFIC LIGHT STATISTICS
-----------------------------------------
Metric,Value

Total traffic lights,1

Average queue length,2.5 vehicles
Maximum queue length,7 vehicles
Minimum queue length,1 vehicles

Average waiting time,9.0 seconds
Maximum waiting time,47.5 seconds
Minimum waiting time,0.1 seconds

4. OBSERVER PENETRATION RATES
-----------------------------------------
Category,Total Count,Average Present,Rate

Total relevant cars,0,N/A,100%
Floating Car Observers,0,N/A,0.00%

Total relevant bikes,0,N/A,100%
Floating Bike Observers,0,N/A,0.00%

=========================================
5. BICYCLE DETECTION STATISTICS
-----------------------------------------
Metric,Value

Note,No detection data available

=========================================
6. MOTORIZED VEHICLE TRAJECTORY STATISTICS
-----------------------------------------
Metric,Value

Note,No vehicle trajectory data available

=========================================
7. BICYCLE TRAJECTORY STATISTICS
-----------------------------------------
Metric,Value

Total unique bicycles,30

Statistics for DEFAULT_BIKETYPE:
Total unique bicycles,30

Time in simulation:
- Average time,6.2 s
- Maximum time,13.0 s
- Minimum time,1.5 s

Distance traveled:
- Average distance,222.7 m = 0.22 km
- Maximum distance,256.7 m = 0.26 km
- Minimum distance,59.9 m = 0.06 km

Speed statistics:
- Average speed,4.54 m/s = 16.3 km/h
- Maximum speed,6.77 m/s = 24.4 km/h
- Speed standard deviation,1.66 m/s = 6.0 km/h
- 15th percentile speed,2.41 m/s = 8.7 km/h
- Median speed,4.97 m/s = 17.9 km/h
- 85th percentile speed,5.86 m/s = 21.1 km/h

Acceleration statistics:
- Average acceleration,0.00 m/s^2
- Maximum acceleration,0.00 m/s^2

Deceleration statistics:
- Average deceleration,0.00 m/s^2
- Maximum deceleration,0.00 m/s^2
- Hard braking events (>2.5 m/s^2),0

=========================================
8. BICYCLE CONFLICT STATISTICS
-----------------------------------------
Metric,Value

Conflict frequency:
- Total unique conflicts,15
- Total conflict frames,211
- Unique bicycles involved,6

Per bicycle statistics:
- Average unique conflicts per bicycle,2.5
- Maximum unique conflicts per bicycle,5
- Minimum unique conflicts per bicycle,1
- Average conflict frames per bicycle,35.2
- Maximum conflict frames per bicycle,99
- Minimum conflict frames per bicycle,8

Conflict durations:
- Average duration,1.3 s
- Minimum duration,0.2 s
- Maximum duration,4.0 s
- Prolonged conflicts (>3s),1

Conflict types (unique conflicts):
- TTC-based conflicts,15
- PET-based conflicts,0
- DRAC-based conflicts,0

Severity metrics:
TTC (Time-To-Collision):
- Average TTC,1.54 s
- Minimum TTC,1.37 s
- Maximum TTC,2.93 s

PET (Post-Encroachment-Time):
- Average PET,0.00 s
- Minimum PET,0.00 s
- Maximum PET,0.00 s

DRAC (Deceleration Rate to Avoid Crash):
- Average DRAC,0.00 m/s^2
- Minimum DRAC,0.00 m/s^2
- Maximum DRAC,0.00 m/s^2

Conflict partners (unique conflicts):
- Conflicts with DEFAULT_VEHTYPE,5
- Conflicts with floating_car_observer,10

Detection coverage (unique conflicts):
- Conflicts detected by observers,0 (0.0%)
- Conflicts detected by FCOs,0 (0.0%)
- Conflicts detected by FBOs,0 (0.0%)
- Undetected conflicts,15 (100.0%)

=========================================
9. PERFORMANCE METRICS
-----------------------------------------
Total runtime,4144.09 seconds

Runtime breakdown:
- Simulation setup,2.71 seconds
- Ray tracing (without visualization),4135.78 seconds
- Note:,No additional trajectory applications were activated
- Data collection (for Logging),4.65 seconds
- Final logging and cleanup,0.00 seconds

Timing verification:
- Sum of components,4143.14 seconds
- Timing offset,0.95 seconds
Note: Offset includes
- Python garbage collection
- Operating system scheduling
- File I/O operations
- Inter-process communication with SUMO

Step timing:
- Average step duration,1532.27 ms
- Maximum step duration,4975.89 ms
- Minimum step duration,0.00 ms

Memory usage:
- Average memory usage,366.4 MB
- Peak memory usage,388.6 MB
